text,target
 rt alacaksın diye yaptığın şaklabanlığa baksana insan diyenin amına koyayım sen orospu çocuğusun,3
seni kimse anlamayacak tek başına kalcan,0
amına koduğumun hayatında nasıl hiçbir şey yolunda gitmemek için bu kadar direnebilir ya aklım almıyor,3
emre belözoğlu geldi sen gelmesen de olur,0
nolur saçınızı kafanıza yapıştırmayın nolur ya yeterince suriyeli görüyoruz zaten,1
orospu çocuğu paralellerin anasını siktiğimin evlatlarının ülkenin anasını ağlatma çabasıdır,3
hayat kısa affedin felan niye affedelim salak mıyız,0
önce vatanına sahip cik suriyeli pic muhammednurtutuklansın,1
nasıl da unuttuk amk suriyeli bıyıklısını httpstcoysedopcg,1
 siyah olsa ne olur kardeşkalpleri kararmış insanların ten rengi beyaz diye bir şeyemi benzediklerini zannediyorsun,0
saygıda kusur ettiysem vardır bir ibineliğin,0
gece gece susun amk kürtleri ülkeyi bölme planımı yapıyosunuz ne yapıyosunuz,1
 erkekler de den sonra değişiyor den sonra sığır gibi amaçsız yaşayan erkeği zaten at çöpe,2
adam sanatını icra ederken havayı ısırıyor öyle amcı herif,3
ermeni vahşeti hocalı soykırımının  yıl dönümü httpstcopjtyae,1
 ben özlemedim hadi şimdi siktir git derdim,3
 yine otu fazla mı üfledi bu ya,0
ulaa bu çarşamba adım başı suriyeli bizim kekolar bile bunlardan daha yakışıklı amk,1
   gs maçında  puanı haksız yere  kişi kalıp aldık diagne denilen malın kendi ayağına takılıp düşmesiyle,0
beni dünyalara değişseydin de insanlara değişmeseydin şimdi ben sana nasıl düşman olucam kitapsız,0
biz aşağıbakmayacağız yahudi madalyalı hırsızın piçleri bakacak yerin dibine,1
 para için fenerbahçe sevdanı sattın yazıklar olsun ,0
 valbuena valbuena dedik adamın girdiğiyle çıktığı bir oldu bravo cenabet fener tayfa,0
parayla şampiyonluk ne kadar kolay şerefsizsin ,0
hadi ordan kalemi satılık sözde gazeteci seni sen necmettin erbakanın kesip attığı tırnak olamazsın,0
   bu adamı gördüm mü kusasım geliyor bu da oğlu bi bitmediler,0
anasını avradın sikim böyle bi güzellik yok ya,3
hava sıcaklığı  da olsa gezecek bi tayfa taniyorum ne mal insanlarsiniz ya,0
kimseye eyvallahım yok artık koduğumun bebeleri dostlarım yeter bana,3
türkler gökkuşağı gördüğünde ibne olmayacaklarını anladığında dünya,3
ne kadar korkak ezik amerikan yahudi köpeği varsa buraya gelsin ,1
eskiden nereye baksam sen vardın şimdi suriyeli,1
orospu çocuğu abdullah adres verde ananla bacını üst üste koyup sikeyim senin amına koduğumun oğlu,3
sıkıldım bu çocuksu tavırlarınızdan lütfen biraz büyüyün,0
 çorumda nerde bu ilkellik yapmayin lütfen new jersey  falandjr burası,1
asla boşta kalmayı göze alamayan orospu çocukları için çok önemli değil düşüp kalktıkları insanların kalitesi,3
bazen diyorum ki her şeyi siktir et baba mesleğidir kuyumculuga gir,3
 yok mısırlı yok suriyeli lan olum arap işte ne fayda gelmiş bugüne kadar dünyanın en pis ırkı,1
değilim aq ateist falan değilim illa alnıma mı yazayım httpstcobngghd,3
galatasaray yerine bu takıma gidersen ne bileyim bu nasıl vizyon amk,0
  topunuz gelin amk ikinizide üst üste koyup,3
mert güngördü çok salaksın bunu görüp de evde ağlamazsın umarım,0
 kanka niye dellendin birden amk,3
 amcıgını siktigim o turbanı çıkar bari,3
yalancıfoxtv yahudi kanalından ne beklersin,1
kime sampiyon olur desen olmuyor ne şom agızlı herifsin  ,0
dışınız müslüman içiniz gavur olmuş allah ıslah etsin,1
  kuzenim var ama kürt  değilim ,1
ankara lısını bulma fikri siktir git kafamızdan da havuzun tadını çıkartalım,3
 kim bu et kafalı  iyi parti seçim yardımı alamadi,0
bu yolun sonu karanlık fethullahçıların da onların bütün kurumlara sızmasını sağlayanların da amına koyayım,3
 sen nasıl bir müptezelsin amk,3
canan denen ermeni artığı terörist  yıl aldı httpstcozdjbrohjkp,1
senin ben amina koyim sana guvenmistim orospu cocugu,3
şerefsiz ve kansız gavur httpstcoqdkphkxwbz,1
üç kağıtcılık basit kalır bunların patronu kim yahudi iti httpstcojrwtrjjia,1
bukadar mallik olurmu  kisi boş ya,0
   herkes için eşitlik bence kapitalizm yalnız erkekleri sömürmesin biraz da kadınları sömürsünb,2
bu gece acayip doluyum karşıma çıksan tek yumrukta komaya sokarım seni amk karısı,3
suriyeli açız diyor neden bunlarda ahlak yok hadi ülkenize httpstconzaqvkz,1
 kanka tanidigimiz ama iki yuz bulunca biraz degisen biri zaten,0
orospu dünya bize de dön,3
suriyeli sevmiyoruz httpstcoqblctfz,1
emre belezoğlunu savunmak sana düşmedi medya şarlatanı  aspor  ,0
 ay boyunca dünya değişti insanlık değişti ama bu amk beyinsiz diabyde hiç bir değişiklik yok,3
ya bi siktir git aq çomar dölü başka yerde boş yap,3
 siktiret knk öyle de ölcen böyle de,3
kahrolsun gavur hanım ablalar ve benim teknoloji özürlülüğüm nullkullanici,0
 bir kızın sevgisini nefrete dönuşturecek kadar ökuz olmayın yeter,2
evleniyormuyuz evlenmiyormuyuz    tabiki hayır şerefsiz vedat nefesimol,3
hocalı da akan kan müslüman kanıydı sustunuz zaten siz ya ermeni ya fransız yada rustunuz,1
 böyle bir orospu çocuğu daha gelmez lafını ne kadar da nazik bir şekilde ifade salim bey,3
pkk a bir ermeni örgütüdür annelerdireniyor,1
adam resmen o adamı seçerseniz belanızı skerm dedi lan hahagaha,3
  dünyada bunun kadar yalancı utanmaz ahlaksız yalan makinesi görmedim yazik oldu istanbulumuza yazik,0
en son böyle kral hareketi ilk okul sınıfta gerçekleştirmiştim amk ashdjdkdldldl,3
gerçekten son raddeye kadar insanları tahrik edip sinirlendirip sonrada sen busun ayakları yapabilecek kadar vasıfsız mısınız,0
ye haramzade yahudi hain httpstcohgveo,1
mikrofonu yere bırak dildo değil o orospuya her söz zigzog,2
suriyeli yapmadıysa başka bir şey bilmiyorum aq httpstcoudvxnysfq,1
herkese günaydın sana בוקר טוב çünkü sen benim için artık gavur tohumusun,1
bir kere beni karşına aldın bu affedilemez kaltak,3
  değer vermeyi  haketmiyordur o zaman sal gitsin bacım,0
bakalım bu kadar acıya dayanabilecek miyim amına koduğumun kendimi,3
amına koduğumun yerinde birisi çok büyük oynuyor bi bulsam anasını sikicem,3
 vay arkadaş  zaten üçe indi ihtimaller amk sizin vereceğini bilgiyi,3
katili bulmaya değil de katil benim demek icin gelmiş sanki amk bu ne tip böyle,3
şu hayattaki en saçma ve gereksiz şey sosyal medya ama insanlar hayat biçimi gibi görüyor  beyinsiz bi toplum amk,0
siz türkiyenin kara yüzüsünüz ermeni kanlılar tff_org,1
kendini düzeltene kadar adı yavşakdolu ajansı olarak değiştirilsin anadolu adını haketmiyor,0
tsk nın sitesinden ısrarla yapılan basın açıklamaları kafa karıştırıcı yapıcaksanız adam gibi darbe yapın amk,3
galatasaray derken sahadakiler amk ben çıkıp atayım amk ne yapayım,3
sizden olunca böyle oluyor değil mi koduğumun pkklısı bulacaz oğlum seni,3
sen bir orospu ben bir kraliçe nö nö nö,3
yalaka aciz aldatici seytanlari okumaktan gina geldi gideyim de katmer borek yapayim,0
amına koduğumun dertleri ıslak mendil gibi bir tane çekiyosun iki tane geliyor,3
betül bunu gördüğünü biliyorum baloya gel yavşak,3
empati kurup seni anlamaya  çalışırdım ama durduk yere orospu olmayalım şimdi,3
abi çıldırcam aklımı kaybedecem  dakikada nerden nereye geldik amına koyayım müthiş oldu gerçekten,3
sahte arkadaşlıklarınızdan da seviyesiz ve kalitesiz ilişkilerinizden de bıktık artık durun bi yerinizde,0
zayn şu klibi yayınlasana amk yeter ya,3
mülteci çocuklara yahudi tuzağı httpstcomqocoxvw,1
  kalkıyor derken erkek misin    gerçi stalkladım erkek olabilirsin,2
 duş aldığım halde adım nasıl araplarla yan yana anılır aq,1
 son  şampiyonluğunuz gibi şu poz bile çalıntı özgün olun biraz diyeceğim de yavuz hırsız hikayesi aklıma geliyor,0
hiç mi yüzü yaralı kımse görmedınız amk doğa ustu varlık gıbi bakıyosunuz ,3
  o kendine sanatçı diyen korkaklar sana kurban olsun abi ,0
habere bak çift maskeçift ananizı sikeyim çinli orospu evlatları,3
karaktersiz olanı gördüm dekaraktersizliğiyle övüneni ilk defa gördüm,0
güzel olan kızların yanında bulunan keko tipli adamlardan neyimiz eksik,0
sizin derdinizi tasanızı sikiyim hastahneye her gidişimde ağlayan kadınlar görüyorum,3
beşiktaşın tüm kanat oyuncularını topla  tane babel etmez,0
bi suriyeli yobaz eksikti muhammednurtutuklansın,1
at zarını kardeşim at at  geldi öldün  gelmesi lazımdı siktir git şimdi,3
 oğğğluumm ekrem diyen bi it vardı sk onu başkan,3
adını dağlara yazdım nasıl bir orospuysan toprak kaydı amk skdödö ,3
arap seviciler siktir olsun gitsin arabistanatürkiyenin dili türkçedir türkdilbayramı,1
amına koduğumun erkekleri duygu teröristi pislikler hepinizden nefret ediyorum,2
suriyeli hekim suriyeli ögretmen suriyeli polis suriyeli yargıç  istemiyoruz suriyelilersuriyeye,1
amına koduğumun okulu bi bitmedi ki rahat nefes alıp sıfatlarını siktiklerimi görmeyelim aq,3
ya sen utanmadan  bin kişiyi nasıl takip edersin zorla fenomen mi olucan amk çocu,3
en buyuk aptalligi beni aptal yerine koymaya calisarak yapiyosunuz ve aciyorum yersiz cesaretinize,0
biten bir ilişkide iki taraf vardır gidenler ve geride bıraktıkları iki tarafında götüne koyim  aşırı sıkıcısınız,3
kara kedinin suçu ne hiç anlamam kedi gördün diye saç mı çekilir amk beyinsiz mahluk,0
ptipi  ntipi  iletkenlerini   piç nalan diye kodladım allah affetsin,3
kurumsal bir şirkette tahat etmek için ya yalaka olacaksın ya da hamile,2
  takım da tam bir maldı bu akşam ,0
düşünsene ibrahim tatlıses olduğunuido diye oğlun var   prezervatif şirketine dava açarım,0
her yer arap kayniyor,1
seni önce paralar sonra da harcar bu orospu çocuğu güzel kız,3
pis arap bilal ın vakfına azıcık  dolar bağışı yaptı,1
iyice yarasa gibi bir şey oldum geceleri uyku sıfır gelin beni de yiyin amına koduğumun çinlileri sizi,3
  uzat üssü nedir yazmayı öğren önce ondan sonra konuş abd köpeği,0
kökü dışarıda ermeni ve yahudi dönmeleri soyunuz kesilsinbirdolarlıkhainler,1
öldürmediğim her yahudi için bana lanet edeceksiniz alinti,1
murat gilin damından atlayamayan bir salakta budur ha,0
hepinizi üst üste koyup şampi olucaz amcıklarr,3
ulan zırva kes sesini seni biliriz  depreminden  yetmedi mi naralarını yahudi dölü,3
olum hiç samimi değilsiniz ya amına koduğumun tutarsızları ben bilmiyor muyum pislik biri olduğumu,3
yaş  hissedilen  amina kodugumun hayatı,3
küfür ettirmeyin o zaman beyinsiz gibi takılıp amk cocukları,3
senin allah belanı versin sapık şerefsiz namussuz haysiyetsiz,0
profesyonel oç ligi yazıp çizdi resmen en kritik anda her yerde sen varsın allah belanı versin senin,0
hayirli olsun canim yarrak gibi olmus,3
ben yatıyorum artık sokarım sosyal medyasına da geri kalanına da,3
 nasıl ya nasıl amk nasıl böyle birşey yaşanmış olur,3
sorun bakalım siz bu kaşara kaç tane yarak alabliyomuş amk kaşarı yaa,2
bu şeytanda hiç kafa yok lan    her yıl taşlanacağını bile bile hacca gidiyor salak ,0
  sen ne içtin bilmiyorum ama iyi kafa yapmış,0
şu salağın snap fotosuna bi bak dedi baktım hakkaten salak ayrıca sana hiç yakışmamış okursun ,0
nisan sonu göktaşı gelecekti nooldu o iş ya yine mi yörünge değiştirdi bu koduğumun taşı,3
ferdiyi oynatmayacaksan hocam kirala her hocanın sikik egolarından bıktık aq,3
arkadaşlar bu amına koduğumun limiti  saattir kalkmadı markın anasını mı siktim acaba,3
iyi güzel hoş ama bazılarınız da çok ergen ya buram buram sivilce kokuyorsunuz,0
osmanlı piçi çıkıpta burası dedemin derse  o kararı çıkaran yargıtay bedelini öder,1
 böyle hatanın amk ya kendinize gelin,3
ne istediğini bilmeyen insanlar yemin olsun amınıza koyarım beni dinden imandan çıkarmayın,3
hallettik de amına koduğumun erkekleri siz kendinizi ne zannediyorsunuz,2
alierbas ülkede ne kadar gavur tohumu varsa bu tag ile açığa çıkmıştır,1
bu araplar neden kokuyor ya arap kokusu diye bir şey var leeeş,1
atatürk piç olsaydı sen acaba hangi fahişe nin çıkardığı  olurdun,3
 at kafalı bana ne aç diyorsun madem,0
seni vatan hayini kanı bozuk ermeni grubu yine toplanmış senin için sevgiliselahattindemirtaş,1
o sikimsonik fan kalbini de yaptım ya hira ben cidden değiştin,3
omuz gibi ananı sikiyim kırılcaksan kırıl ağrıyla uğraştırma beni,3
arap dini her geçen gün daha fazla zarar veriyor bu ülkeye httpstcosrtquye,1
bilmiyorum farkinda misiniz ama şuan şampiyonluğu veriyoruz amina koyayim,3
senden bahsederken amına koduğumun çocuğu demeden geçemiyorum kusura bak,3
nefret ediyorum gs denen ermeni klübünden,1
akp nin kocalarıdır suriyeli picler httpstcoivjynsovi,1
müslüman arap türke ihanet etmiştir ama müsavi yahudi asla türke ihanet etmemiştir,1
ben dertten ah çekiyorum sen zevkten anasını siktiğimin kızı,3
napiyim amk erkek eli bu kadar oluyor gideceği yerde bunun hiç bir önemi yok hem ,2
bugün tüm eski sevgililerimin orospuluğu üstünde d bol seksler dikerim tatlımlar kuvvet versin rabbim d,3
amına koydumun yalak kürdü seni,1
antalya kesinlikle lanetli bir şehir ne geldiyse burda başıma geldi şehrin  gavur zaten,1
 ananizin üstünde görseniz orospuluk anamdadir diyecek kdr şerefsiz evladisiniz,3
amk beyinsiz korkak anonimleri sizden daha da nefret ediyorum artık,0
bunu camda gördüğüm yerde  lira verip orospu evladı halil ananı sikmeden çay getir buraya diye bağırırım,3
arabanın cami acik diye  kat aşağı indim ama kapalıymış amina koduğumun körlüğü ya,3
gâvur un dolar ı kaç lira olursa olsun sonuna kadar devletiminyanindayim  kanı bozuklar,1
matkaplı komşunun çocuğu sabah dan beri çığlık atıyo ses tellerini siktiğimin kızı,3
annemle kavga edince ergen kızlar gibi evden kaçıcak kadar beyinsiz değilim amk,3
bizim kizlar sana serefsiz demek istiyor,3
adamın ml de k maçı var hala pozisyon almayı bilmiyo beyinsiz amk cocu,3
hastaneye gittim pnömotoraks şüphesiyle bi bok çıkmadı halimi hatrımı niye sormuyosunuz demekki ölsem unf atıcaksınız mk,3
çekirdek satımı yasaklansın aptal orospu çocukları bu ne,3
bebeğim yalan söylemende sıkıntı yok fakat söylediğin yalanlara inanacağımı düşünmen büyük aptallık,0
neyse biraz da yüzü koyun uyumaya çalışayım belki nefessiz kalıp geberirim amk,3
herkesin vardır bi yılan arkadaşı dndldnşdjdşdkdşdk,0
 sen nasıl bir çakalsın öyle,0
   deyecek tek söz sus oruspuuuu,3
emredersin yahudi dönmesi httpstcosczqscen,1
 bi siktir olup gidermisin ilerde öl,3
ezanlar okunmaya basladigin da tüm yunan tohumları kuduracak,1
rum kafasi ancak bu kadar çalişiyor httpstcolhpwqcbn,1
türkleri suçlamayan bi ermeni arkadaş bulmak mı allahım nasip et,1
ulan şu fotograf da tarik yavşaginin ne işi var aq,0
ya su keşan niye hep bok kokuyo mk,0
eşçinsellik sapıklıktır bu normal değil bir hastalık buna destek vermeyin bunun adı özgürlük falan değildir,2
sana küfür etmek isterdim ama o kadar kalitesizsinki sana uygun küfür bulamadım,0
 wpwöwğsöspemsol beyin kapasiten anca bunlara yeter zaten süper devam,0
bir müslüman da hırsızlık yapmasa ya httpstcoogqcop,1
keman çalan çocuğu geri koyun amq syim böyle maçı ,3
gecenin  ünde niye yoldan geçerken suriyeli gibi bağıra bağıra konuşuyorsun abi derdin ne,1
  böyle bi güzellik var ve sen elin kolun bağlısenin kalıbını sikim,3
sen önce buruşuk amına baktır sonra gen tartışması yap amk karısı,0
bi beyinsize göre fazla özgüvenlisin,0
allahım lütfen er adet beyin ver şu beyinsiz kullarına,0
bi de çok umrumdaymış gibi trip atıyolar sen kimsiiin la ,0
herif elinden gelse iğne deliğine sokacak gelmiş burada kız tarifi yapıyo koduğumun malı,0
sen bol bol heykel yapıp yıkayınca ekmek fırınını eve taşıyordun değil mi gavur tohumu,1
ulan tek doğrunuz yok millette yanlış arıyorsunuz,0
marifetmis gibi yazıyor bide koduğumun varosu seni adam yerine koyanin ben amk,0
memleket beyinsiz dolu amk,0
şu amına koydugumun sitesinde bir hafta sonu da cinsellik ile ilgili bir gündem olmasın ya,3
 her tarafı erkek olsa ne olur ya oç yada gaydir,2
yemeksepetinde bizim mahallenin muhtarı suriyeli siz yatın kalkın reise dua edin,1
 suriyeli alana  türk hediye çok yakında httpstconpjgyrv,1
demekki  azerbaycanlı  ermeni den daha üstün  httpstcoukckejfk,1
 gelen giden bitmiyor amk deli ettiler beni oyun oynayamiyom,3
burası suriye değil pis arap,1
ünlü bi suriyeli düşünürün de dediği gibi  şehirlere bombalar yağardı her gece biz seninle sevişirdik,1
migren şerefsizdir sahura yakın tutan migren şerefsiz oğlu şerefsizdir,3
olm ayıp olmasın diye birşey demiyorum ama aşırı boş yapıyorsun amk siktir git bi yüzünü yıka gel,0
kardeşim benim burda  kişinin seni ortalık malı gibi kullanması hoşuna mı gidiyor amk siktir git artık kapansın konu ne gurursuz adam çıktın amk,0
 tanimiycan etmiycen kardesim rahatsiz misin,0
bu kadar gerizekalıyı bir araya nasıl topladınız helal aq,0
ya amina koduğumun çocuklari şu siktiğimin de dalarini ayirmayi bilmiyorsaniz hiç ayirmayin daha iyi lan salak salak olmayacak yerlerde ayiriyorsunuz kuduruyorum burda telefonu isiriyorum amk okurken hiç mi rahatsiz etmiyor sizi mal mal ayirdiklariniz amk aptallari rezil piçler,3
bu yer amına koduğumun twitteri değil mi bırakta rahatça küfür edeyim,3
yakında cezalarda özelleştirilirse şaşırmam bu ülkede  arap zihniyeti pişmanlıktır sigara,1
olgun erkek seven orospu ruhlu ne istediğini bilen ciddi dürüst bayan varmı,2
hepiniz çok komiksiniz ve işsizsiniz twitlerinizden belli kpss,0
taksicileraçıklamabekliyor uberi yasaklayın yoksa taksiciler adam olmak adam gibi hizmet etmek zorunda kalacaklar,0
konuştuğum yok ama telefon sürekli elimde amına koyayım bu huyumdan vazgeçemiyorum,3
 kuru fasulyenin yanında soğan ezemez len o o sizin ezikliğiniz kavramsal partisel bir şey sizinkisi eziksiniz cümleten ,0
 orospu evladı sürüne sürüne ölür umarım,3
kafkas oyunlarına bak kürt govendine bak aq,1
bu ne biçim sınıf seçerek mi getirdiniz herkes beyinsiz amk,0
   hiç bişry yapamazsın aq keşi,0
 elhamdülillah biz bağırıyoruz kahrolsun israil diye onu yapamayanlar var ammar abi,1
süzme ingiliz köpeği baştan aşağı,1
ülkemizde büyük bir salgın var      namazsızlık   şükürsüzlük   vefasızlık   hayasızlık ve yüzsüzlük      sen şifa ver allahım,0
bak yine hatırlattılar fransiz vatandasi olucakken direkten döndüm boyle hayati sikiyim,3
okumuş ama adam olamamış grubuna giriyor kendisi demek ki,0
kirlenince nasıl temizlicez orospu cocukları onu yazsanıza,3
sadece tutsun diye tweet atıyorsunuz ya ben kusuyorum,0
ben sinir hastası bi salak mıyım acaba ya,0
 alişan yalakası kendini ifade etmiş aslında,0
 la ne sürmenesi hiç at hırsızı tipi varmı adamda bildiğin vakfikebirli,1
hele berçemi siktir edin yok mu guzel boyunlular tayma düşürün allahsizlar,3
astrid nasıl bir salaksın kızım ya kes,0
hayatımız koşu bandına çıkmış gibi sürekli yerimizde sayıyoruz amına koduğumun yerinde,3
çapa tipin taşitoprağibilūmum neyi varsa ananizin amna girsin arap sevici göt oğlanlari,1
 hasiktir lan amk çocuğu ananın amından mı seyrediyorsun maçı şerefsiz,3
çok orospuafedersiniz gördük biraz da adam seyredelim inşaallah adamlik bulaşır belki,2
 o adam gs formasını giyerse kirletir o yüzden almayalım falcaoyu,0
foxkapatılsın kokuşmuş çürümüş türkiye karşıtı amerika sermayeli yahudi kanalı kapatılsın,1
ne kadar fedakar olursanız olun gün gelir adı yapmasaydın olur siktir et o yüzden,3
 göz göre göre yalan söylüyorlar bunlar insan mi,0
atatürkü sevmek maya gibidir kani bozuk ingiliz artiklari ve sütü bozuk olanlarda tutmaz,1
sonunda bitmiş amina koduğumun lanet programi son kez aklinizi sikeyim sizin püh orospu çocuklari,3
şu amına koduğumun memleketinde gün yüzü görmek haram bize mk,3
seni artık ciddiye alan yok söylediğin hiç bir şeye kimse itibar etmiyor yalancı,0
  defolup gider misiniz anasayfamdan şerefsizler karnımı acıktırdınız lan gece gece,3
kız hesabı kullanan erkekleri bildirin sürekli çük fotoğrafı atalım amına koduğumun pezevenklerine,2
 hakan bsg bizi baş başa bırak amk,3
bu amına koduğumun havaları ne zaman serinleyecek sikicem artık yazınızı ama ha,3
ermeni  cani hayvan dan da aşağı mahluk httpstcopstbkvrzf,1
algıcı  kansız  yahudi kırmasının uşağışeytanınavukatırıdvan,1
kaşarlanmış tam bir şeref haysiyet yoksunu omurgasız bir mahlûk,0
 sıcaklık nasıl düşüyor yükseliyor sanıyorsunuz amk işte bu yüzden,3
oldların gözü yaşlı newler bune amk diyor,3
amına koduğumun salağı yaptığım göndermelerin kendisine olduğunu da anlamıyor,0
herkesin inandigi bir sey vardir bu amina kodugumun hayatinda benimkisi de sensin napayim,3
arapın başına geçtiği yerden hayır mı gelir yarın çözüyorum bu işi türktelekom,1
mrblar amk bişey yaptım hadi favlayın,3
millie bobby brown ingilizmiş tam ingiliz iticiliği var zaten,1
ahlakı mahlakı siktir edin bu lgbt terörü asıl dilimizi yokediyor,2
göt yalayan kanallar ortalıkta yok ne bekleyecegiz başka,0
chp bile darbe diyor bizim embesiller hala tiyatroda ısrarcı,0
 ailen senden utanmışdır umarım bunu hissedebilen evlatlar yetiştirebildiysen tabi,0
suriyeli cihatçı katiller akın akın geliyor kendimiz aç kalıp doyursak yetmez adamlar skmek isteyecek sk,1
milletin kırıp döktüklerini niye hep biz topluyoruz ki aq,3
hepiniz yunan tanrısı gibi erkek arıyorsunuz alayınız at hırsızı gibi erkeklerle takılıyorsunuz amk,1
spormansettrt ekrandan seyirciye hakaret eden adam para kazanıyor trtde seviye çok düştü,0
nasıl ünlü olmadım   beynim var,0
anasını siktiler o istanbulun aksarayda türk yok hep suriyeli esenler bağcılar esenyurt da aynı httpstcoimvoehkh,1
bel ağrısından geberiyorum mal kardeşim burda olsaydı da sırtımı çiğnetseydim insan bazen özlüyo kardeşini,0
kralima bakin nasil yumrukluyo gavur yumruklar gibi,1
soktuğumun yerinde bazıları çok  akıllı sanırım amk beyinsiz varlıklar,0
kalça tokatlayacağımız yaşlarda çavuşu tokatlıyoruz amına koduğumun virüsü yüzünden,2
bu amına kodumun hayatında nasıl mutlu oluyorlar,3
 bile diyo amk piçi öğrenci evinde ekmeği karta çektiğimiz günler olurdu,3
 bir şey olmaz ye ışte yarragi tadını çıkar sikişte yorulmamı  olurmuş,2
evet hala uyumadım çünkü ben şizofrenim aq bildiğin dümdüz yani,0
sevmek götünüze batıyo di mi orospu çocukları,3
tam bir bukalemun bu bizi de meze ettiler bu sürece kahpe çocukları,3
dm kutum senin beyninden daha boş,0
tamam kardeşim forma giydin hastaneye gittin her yerde görmek zorunda değiliz boşu kes,0
 nasıl girsin cennetebir kalbe giremeyen said yavuz,0
 liraya suriyeli eskort çağırırım httpstcorxvsiqb,2
  sen burada açılan dövizleri anlayacak kadar akıllı kadın olsan bunları kullanmazdın   bir kadın olarak,2
dikkati üstüne çekmeye çalışan hain bir kaltak gibisin,0
sabahtan beri başım dönüyo başım bile dönek çıktı kime güveneyim ben bu devirde,0
nfk nın tarih anlatımına bayılıyorum su katılmamış gavur moskof piçi,1
amına koduğumun gününe yine başladık bi şekilde ama nasıl başladık,3
benim için  sen hiçsin    sözlerin çöp,0
  çay içince böyle oluyor ciddiye almayin,0
sivrisinek var şerefsiz evladı ısırcak beni,3
müslüman  yıldır orucu tartışırken ineğe tapan hindistan aya iniyor,1
suriyeliler mutmain bizler pejmürde olduk,1
ermeni bir teröristin saygı gormesi ilginç vaka sevgiliselahattindemirtaş,1
ne diyebiliriz ki ibne tarikati bunlar,3
 alayınızın allah bin belasını versin soytarılar sizi,0
 o zaman sçımaya devam etsinler zaten korkulukta bişeye benzemiyor abla ,0
 yok ya herif  tarlasına su kanalı açıyordu gevşek zemini hesap edemedi enayi ,0
 gavurun desteği arkasında daha çok açılış yapar  bizimkilerde habersiz destekler,1
hayda amk giriyom atıo beni,3
tayyip baba sen işini biliyormuşsun affet bu kadar aptal orospu çocuklarının siteyi kapladığını unutmuşuz,3
uygur türktür suriyeli yüktür httpstcoyhxnqlc,1
atı kıskandırmak için eşşeğe binilmez amına koduğumun vizyonsuzu,0
 terör sevici vatan hainleri sizi   hayat kısa elbet hesap günü gelecek,0
  kadın dediğinin  tek erkegi olmalı,2
amk piçini tek yumrukta yere sereceksin ama kendisi korkak olup bize atıfta bulunuyor piç kurusu seni,3
siktiğimin beyinsizi derken sana bi aitlik yüklüyorum sevinmen lazım sadece beyinsiz de olabilirdin,3
bana bak ağzina yüzüne siçtirtma defol git lan surdan elim ayağim titred,3
amını ırzını siktiğimin kızı daha bugün hesap açmışsın takip ediyosun acıyoruz gt atıyoruz unf atıyosun hem de bana yılların pussciferına sen kimsin lan dalyarak,3
nerde gerizekalı mal beyinsiz var amk yerinde benimi bulur ya,0
ben olsam senin izdirabini sikerim üzerinde koştuğun hibrit çimin üstüne yatirir pas atmadiğin o topu alir götüne sokarim amina koduğumun vasifsiz sik kiriği derdim sadece,3
sen ne beyinsiz bi insansin amk descartes gorse dusunmeyi birakirdi,0
ulan futboldan da anlamayıp sadece derbi günü boş muhabbet yapan kızlar da ayrı bir beyinsiz amk,2
dünyanın en güzel ülkesi bizlere bahşedildi sıçıp bok edelim diye,3
tamam kardeşim biliyorum güzel değilim ama bunu sana söyleme hakkını kim verdi amına koduğumun oruspu çocuğu,3
suriyeli bir soysuz boğaziçini bombalamak istediğini söyleyecek kadar özgür iken üniversite öğrencilerinin yerlerde sürüklenmesi,1
  sende sevap ver bence eşek kadar adamsın boş boş gereksiz kikirdiyonn,0
aşkoo baaay siktir git mına kodumun,3
dedi  yıldır iktidara gelemeyen  yıldır da her gün erdoğan bu kez gidecek diyen sığır artığı,0
sikik yüz ifadeni de al git,0
 ne aglakmiş bu tayyip seçim biteli  ay oldu hala seçim istiyor pes yani,0
futbol hatalar oyunu eyvallah ta hep mi bizi bulur amk sksbvbjk,3
eve temizlikçi geldiğinde ondan çok ben yoruluyorum amkdjdkd,3
 domates kg  tl    maydanoz deste  tl her neyse simit çay neyinize yetmiyor vatan hainleri,0
yüzün varsa hesabını açıp cevap yaz ,0
bazen çok güzel terbiyesizleşiyosunuz ya ,0
denize çöpünü atan orospu çocukları hariç herkese güzel geceler,3
 bunlar orospu çocuğu ve devlet destekli,3
 ne kadar utanmaz olduğunuzu biz biliyoruz da halan anlamayanlar var ya asıl onlara bozuluyoruz sizlere değil,0
bugün bi grup oğlan suriyeli gördüm moralim bozuldu yine,1
aminakodumun istanbulu nefret ediyorum sendençankırı ozur dilerim bitanem cok ozledim seni,3
ekosistem evrim adaptasyon cahiliyetin kelime anlamısın yemin ediyorum,0
 takımı  yol ağzında bi yıkayın bu başka bir cenabetlik,0
okuduğum kitaptan bile suriyeli çıktı httpstcoqozflfgos,1
he amina koyayim he dünyanın bütün derdi sende en dertlimiz sensin ödül verelim istersen göt,3
samimi söylüyorum filistinlilere zerre acımıyorum başlarındaki adam da sevimsiz,1
la oglım ben sana demedim bu mahalleden gecmeyecen ibina,3
bunlar da ne kadar kindar çıktı ,0
 allah belalarını versin diyecemde zaten bunların yaşamaları bile belanın ta kendisi geberemeyin inşallah,0
